Name	Latitude			Longitude		
AG	N31	59	6.0	E118	47	42.0
AGAVO	N37	10	0.0	E124	00	0.0
AGOBA	N01	58	42.0	E108	30	0.0
AGPOR	N20	18	24.0	E110	13	54.0
AGSON	N02	15	0.0	E114	51	24.0
AHGUS	N20	48	12.0	E113	05	0.0
AKARA	N31	30	0.0	E123	30	0.0
AKERO	N20	02	42.0	E116	42	30.0
AKOMA	N34	41	36.0	E114	44	42.0
AKOTO	N29	37	30.0	E119	39	6.0
AL	N18	18	54.0	E109	30	30.0
ALARA	N38	33	42.0	E120	33	6.0
ALDIN	N09	06	54.0	E123	18	0.0
ALEMO	N02	45	48.0	E113	34	18.0
AM	N24	57	12.0	E102	43	6.0
AMANY	N22	47	48.0	E095	58	30.0
AND	N30	15	18.0	E121	13	12.0
ANDEN	N07	41	24.0	E111	15	36.0
ANDIN	N41	04	41.0	E118	42	52.0
ANIKU	N46	01	30.0	E108	54	0.0
ANIMU	N05	32	12.0	E125	16	0.0
ANOLO	N40	06	30.0	E114	00	0.0
ANRAT	N38	39	30.0	E119	57	22.0
ANSUK	N41	14	30.0	E124	11	0.0
AOTOU	N22	43	0.0	E114	31	55.0
APITO	N29	35	0.0	E124	00	0.0
APOGO	N37	55	54.0	E110	39	6.0
APPLE	N20	41	17.0	E115	38	18.0
APUKI	N22	47	42.0	E113	27	24.0
AQ	N38	42	15.0	E116	18	4.0
AR	N36	43	30.0	E116	55	0.0
ARGAT	N46	36	30.0	E109	34	48.0
ARGUK	N47	53	0.0	E134	39	30.0
AROGU	N09	46	59.0	E108	12	19.0
ARUPA	N00	31	42.0	E108	48	48.0
ASAVA	N31	48	48.0	E121	53	6.0
ASISU	N05	59	6.0	E113	20	48.0
ASSAD	N18	20	30.0	E107	40	54.0
ASTRA	N22	16	28.0	E115	11	35.0
ASUKI	N43	18	0.0	E129	46	0.0
ATASI	N41	09	54.0	E118	40	6.0
ATETI	N01	25	42.0	E108	30	0.0
ATKON	N40	47	0.0	E124	03	12.0
ATODO	N43	48	30.0	E129	01	12.0
ATORA	N08	23	48.0	E110	20	24.0
ATVES	N41	24	0.0	E114	40	0.0
AV	N30	37	18.0	E103	58	12.0
AW	N43	51	12.0	E125	05	54.0
AX	N42	53	40.0	E129	33	49.0
AZSNJ	N31	59	6.0	E118	47	42.0
BADAL	N40	20	30.0	E115	56	12.0
BAILY	N22	04	57.0	E113	50	56.0
BAKER	N21	13	2.0	E114	39	7.0
BAOSH	N17	00	0.0	E113	18	30.0
BATAN	N30	00	30.0	E099	06	0.0
BAV	N40	33	30.0	E109	59	48.0
BAXAL	N04	02	18.0	E117	58	36.0
BC	N16	40	0.0	E112	43	30.0
BEDAD	N25	45	0.0	E110	35	0.0
BEDOG	N41	27	36.0	E118	30	24.0
BEGMO	N28	00	0.0	E121	50	0.0
BEGRI	N40	06	30.0	E114	30	0.0
BEIAH	N40	04	50.0	E116	07	0.0
BEKOL	N22	32	36.0	E114	08	0.0
BEMAG	N26	01	18.0	E114	00	12.0
BEZ	N39	30	21.6	E116	13	48.0
BG	N37	43	10.0	E112	40	36.0
BH	N23	04	17.0	E112	29	4.0
BHS	N30	30	36.0	E104	12	6.0
BHY	N21	35	6.0	E109	26	0.0
BIDOR	N04	00	0.0	E131	30	0.0
BIDRU	N22	43	6.0	E100	57	54.0
BIGRO	N21	34	12.0	E111	49	36.0
BIPOP	N23	20	36.0	E111	08	30.0
BISUN	N43	14	0.0	E131	11	48.0
BJACC	N38	30	0.0	E114	40	0.0
BJZ	N40	03	22.0	E113	29	29.0
BK	N29	53	48.0	E121	20	0.0
BLH	N46	52	54.0	E074	58	54.0
BM	N39	38	30.0	E121	43	12.0
BO	N30	21	36.0	E120	18	18.0
BOBAK	N39	07	35.0	E116	24	17.5
BOBOB	N02	22	6.0	E107	06	0.0
BOKAT	N22	02	13.0	E113	00	0.0
BOLUG	N04	00	0.0	E130	46	36.0
BOMAT	N44	40	30.0	E124	22	36.0
BONDA	N02	00	0.0	E124	51	12.0
BOT	N38	06	0.0	E116	34	0.0
BREAM	N21	46	46.0	E114	03	28.0
BRU	N04	52	31.0	E114	52	57.0
BS	N35	25	6.0	E114	13	0.0
BSD	N25	03	30.0	E099	10	18.0
BSE	N23	54	0.0	E106	38	54.0
BTO	N38	06	24.0	E116	34	36.0
BU	N03	11	0.0	E113	02	0.0
BUBDA	N25	52	42.0	E113	28	6.0
BUNTA	N16	50	0.0	E109	23	42.0
BURIA	N05	39	42.0	E125	08	35.0
BUTAX	N04	26	12.0	E114	52	30.0
BUTET	N43	40	54.0	E124	17	48.0
BUTID	N43	37	24.0	E127	17	0.0
BW	N29	26	5.0	E115	45	45.0
BZ	N28	06	0.0	E119	33	36.0
CAB	N15	27	48.0	E120	58	48.0
CABLE	N21	08	41.0	E113	32	29.0
CAIYU	N39	38	16.0	E116	34	20.0
CALMA	N14	18	55.0	E121	15	35.0
CAN	N23	10	28.0	E113	15	28.0
CAT	N31	13	18.0	E121	20	6.0
CAVOI	N17	13	30.0	E110	00	0.0
CC	N22	12	12.0	E114	01	36.0
CD	N40	00	6.0	E115	48	0.0
CDY	N40	34	36.8	E117	13	29.5
CF	N35	57	8.0	E120	13	55.0
CG	N39	04	42.0	E117	22	18.0
CGO	N34	31	0.0	E113	50	30.0
CGQ	N43	53	54.0	E125	11	18.0
CH	N22	13	12.0	E114	01	48.0
CHAKA	N36	47	30.0	E099	05	0.0
CHERY	N20	22	49.0	E115	04	57.0
CHF	N42	11	18.0	E118	48	36.0
CHG	N41	32	18.0	E120	25	54.0
CHW	N39	51	30.0	E098	20	54.0
CK	N34	03	12.0	E117	27	54.0
CKG	N29	43	24.0	E106	38	42.0
CL	N29	38	0.0	E119	25	0.0
CLAMS	N19	17	58.0	E112	43	10.0
CM	N25	50	0.0	E114	55	0.0
CO	N36	24	6.0	E094	52	54.0
COT	N07	10	0.0	E124	12	30.0
CP	N28	24	56.0	E117	58	4.0
CSX	N28	12	18.0	E113	12	54.0
CTU	N30	34	24.0	E103	56	30.0
CU	N40	07	30.0	E116	22	6.0
CW	N26	32	12.0	E112	50	48.0
CX	N37	39	36.0	E120	32	22.0
CZ	N29	45	52.0	E119	39	28.0
CZH	N30	38	48.0	E103	41	6.0
D	N40	03	48.0	E116	34	30.0
DA	N30	41	48.0	E113	58	18.0
DABMA	N41	25	18.0	E118	32	42.0
DABOX	N38	36	0.0	E122	00	0.0
DACHG	N38	41	30.0	E116	37	12.0
DADAT	N30	27	0.0	E121	14	48.0
DAGMO	N27	26	12.0	E119	33	24.0
DAGON	N19	05	18.0	E111	51	54.0
DAL	N25	38	42.0	E110	19	30.0
DALBA	N14	34	0.0	E111	55	30.0
DALIM	N36	24	36.0	E117	12	42.0
DALUD	N39	50	51.0	E116	34	5.0
DALUE	N39	51	37.5	E116	34	48.2
DAO	N07	07	53.0	E125	39	13.0
DAPRO	N29	15	12.0	E113	38	48.0
DARAN	N38	11	54.0	E107	45	0.0
DARMU	N04	01	42.0	E112	40	36.0
DAX	N31	09	24.0	E107	26	24.0
