Name,Lat,Lon
AG,31.985,118.795
AGAVO,37.1666666667,124.0
AGOBA,1.97833333333,108.5
AGPOR,20.3066666667,110.231666667
AGSON,2.25,114.856666667
AHGUS,20.8033333333,113.083333333
AKARA,31.5,123.5
AKERO,20.045,116.708333333
AKOMA,34.6933333333,114.745
AKOTO,29.625,119.651666667
AL,18.315,109.508333333
ALARA,38.5616666667,120.551666667
ALDIN,9.115,123.3
ALEMO,2.76333333333,113.571666667
AM,24.9533333333,102.718333333
AMANY,22.7966666667,95.975
AND,30.255,121.22
ANDEN,7.69,111.26
ANDIN,41.0780555556,118.714444444
ANIKU,46.025,108.9
ANIMU,5.53666666667,125.266666667
ANOLO,40.1083333333,114.0
ANRAT,38.6583333333,119.956111111
ANSUK,41.2416666667,124.183333333
AOTOU,22.7166666667,114.531944444
APITO,29.5833333333,124.0
APOGO,37.9316666667,110.651666667
APPLE,20.6880555556,115.638333333
APUKI,22.795,113.456666667
AQ,38.7041666667,116.301111111
AR,36.725,116.916666667
ARGAT,46.6083333333,109.58
ARGUK,47.8833333333,134.658333333
AROGU,9.78305555556,108.205277778
ARUPA,0.528333333333,108.813333333
ASAVA,31.8133333333,121.885
ASISU,5.985,113.346666667
ASSAD,18.3416666667,107.681666667
ASTRA,22.2744444444,115.193055556
ASUKI,43.3,129.766666667
ATASI,41.165,118.668333333
ATETI,1.42833333333,108.5
ATKON,40.7833333333,124.053333333
ATODO,43.8083333333,129.02
ATORA,8.39666666667,110.34
ATVES,41.4,114.666666667
AV,30.6216666667,103.97
AW,43.8533333333,125.098333333
AX,42.8944444444,129.563611111
AZSNJ,31.985,118.795
BADAL,40.3416666667,115.936666667
BAILY,22.0825,113.848888889
BAKER,21.2172222222,114.651944444
BAOSH,17.0,113.308333333
BATAN,30.0083333333,99.1
BAV,40.5583333333,109.996666667
BAXAL,4.03833333333,117.976666667
BC,16.6666666667,112.725
BEDAD,25.75,110.583333333
BEDOG,41.46,118.506666667
BEGMO,28.0,121.833333333
BEGRI,40.1083333333,114.5
BEIAH,40.0805555556,116.116666667
BEKOL,22.5433333333,114.133333333
BEMAG,26.0216666667,114.003333333
BEZ,39.506,116.23
BG,37.7194444444,112.676666667
BH,23.0713888889,112.484444444
BHS,30.51,104.201666667
BHY,21.585,109.433333333
BIDOR,4.0,131.5
BIDRU,22.7183333333,100.965
BIGRO,21.57,111.826666667
BIPOP,23.3433333333,111.141666667
BISUN,43.2333333333,131.196666667
BJACC,38.5,114.666666667
BJZ,40.0561111111,113.491388889
BK,29.8966666667,121.333333333
BLH,46.8816666667,74.9816666667
BM,39.6416666667,121.72
BO,30.36,120.305
BOBAK,39.1263888889,116.404861111
BOBOB,2.36833333333,107.1
BOKAT,22.0369444444,113.0
BOLUG,4.0,130.776666667
BOMAT,44.675,124.376666667
BONDA,2.0,124.853333333
BOT,38.1,116.566666667
BREAM,21.7794444444,114.057777778
BRU,4.87527777778,114.8825
BS,35.4183333333,114.216666667
BSD,25.0583333333,99.1716666667
BSE,23.9,106.648333333
BTO,38.1066666667,116.576666667
BU,3.18333333333,113.033333333
BUBDA,25.8783333333,113.468333333
BUNTA,16.8333333333,109.395
BURIA,5.66166666667,125.143055556
BUTAX,4.43666666667,114.875
BUTET,43.6816666667,124.296666667
BUTID,43.6233333333,127.283333333
BW,29.4347222222,115.7625
BZ,28.1,119.56
CAB,15.4633333333,120.98
CABLE,21.1447222222,113.541388889
CAIYU,39.6377777778,116.572222222
CALMA,14.3152777778,121.259722222
CAN,23.1744444444,113.257777778
CAT,31.2216666667,121.335
CAVOI,17.225,110.0
CC,22.2033333333,114.026666667
CD,40.0016666667,115.8
CDY,40.5768888889,117.224861111
CF,35.9522222222,120.231944444
CG,39.0783333333,117.371666667
CGO,34.5166666667,113.841666667
CGQ,43.8983333333,125.188333333
CH,22.22,114.03
CHAKA,36.7916666667,99.0833333333
CHERY,20.3802777778,115.0825
CHF,42.1883333333,118.81
CHG,41.5383333333,120.431666667
CHW,39.8583333333,98.3483333333
CK,34.0533333333,117.465
CKG,29.7233333333,106.645
CL,29.6333333333,119.416666667
CLAMS,19.2994444444,112.719444444
CM,25.8333333333,114.916666667
CO,36.4016666667,94.8816666667
COT,7.16666666667,124.208333333
CP,28.4155555556,117.967777778
CSX,28.205,113.215
CTU,30.5733333333,103.941666667
CU,40.125,116.368333333
CW,26.5366666667,112.846666667
CX,37.66,120.539444444
CZ,29.7644444444,119.657777778
CZH,30.6466666667,103.685
D,40.0633333333,116.575
DA,30.6966666667,113.971666667
DABMA,41.4216666667,118.545
DABOX,38.6,122.0
DACHG,38.6916666667,116.62
DADAT,30.45,121.246666667
DAGMO,27.4366666667,119.556666667
DAGON,19.0883333333,111.865
DAL,25.645,110.325
DALBA,14.5666666667,111.925
DALIM,36.41,117.211666667
DALUD,39.8475,116.568055556
DALUE,39.8604166667,116.580055556
DAO,7.13138888889,125.653611111
DAPRO,29.2533333333,113.646666667
DARAN,38.1983333333,107.75
DARMU,4.02833333333,112.676666667
DAX,31.1566666667,107.44
DCH,30.5566666667,97.11
DDG,40.2583333333,124.29
